Date,1 oz_Selling,1 oz_Buying,1/2 oz_Selling,1/2 oz_Buying,1/4 oz_Selling,1/4 oz_Buying
23.08.18,5179,4978,2638,2489,1344,1245
24.08.18,5159,4961,2628,2480,1338,1240
27.08.18,5239,5036,2669,2518,1359,1259
28.08.18,5261,5059,2680,2529,1365,1265
29.08.18,5234,5033,2666,2516,1358,1258
30.08.18,5249,5045,2674,2523,1362,1261
03.09.18,5243,5035,2671,2517,1360,1259
04.09.18,5264,5061,2682,2530,1366,1265
05.09.18,5236,5033,2668,2516,1358,1258
06.09.18,5271,5066,2685,2533,1367,1267
07.09.18,5281,5076,2690,2538,1370,1269
12.09.18,5271,5065,2685,2532,1367,1266
13.09.18,5298,5094,2699,2547,1374,1273
14.09.18,5284,5080,2692,2540,1371,1270
18.09.18,5272,5068,2686,2534,1368,1267
19.09.18,5269,5067,2684,2533,1367,1267
20.09.18,5287,5082,2693,2541,1372,1271
21.09.18,5295,5089,2697,2544,1374,1272
24.09.18,5256,5051,2677,2526,1363,1263
25.09.18,5260,5055,2679,2527,1365,1264
26.09.18,5271,5067,2685,2533,1367,1267
27.09.18,5256,5054,2677,2527,1364,1263
28.09.18,5201,5001,2650,2501,1349,1250
01.10.18,5228,5023,2663,2512,1356,1256
02.10.18,5225,5023,2662,2511,1355,1256
03.10.18,5302,5096,2701,2548,1376,1274
04.10.18,5272,5067,2686,2534,1368,1267
05.10.18,5270,5065,2685,2532,1367,1266
08.10.18,5297,5091,2699,2546,1374,1273
09.10.18,5248,5044,2674,2522,1362,1261
10.10.18,5241,5037,2670,2518,1360,1259
11.10.18,5264,5060,2682,2530,1366,1265
12.10.18,5376,5167,2739,2584,1395,1292
15.10.18,5381,5172,2741,2586,1396,1293
16.10.18,5412,5202,2757,2601,1404,1300
17.10.18,5394,5184,2748,2592,1399,1296
18.10.18,5392,5181,2747,2590,1399,1295
19.10.18,5413,5203,2758,2601,1404,1301
22.10.18,5418,5206,2760,2603,1406,1302
23.10.18,5399,5189,2750,2594,1401,1297
24.10.18,5439,5229,2771,2614,1411,1307
25.10.18,5464,5251,2783,2626,1417,1313
26.10.18,5453,5241,2778,2620,1415,1310
29.10.18,5456,5244,2780,2622,1416,1311
30.10.18,5453,5240,2778,2620,1415,1310
31.10.18,5421,5210,2762,2605,1406,1302
01.11.18,5401,5192,2751,2596,1401,1298
